objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
ob1,Alaska1.JPG,,,Plant at Greensboro Arboretum ,"Armstrong, K. Lainie",2021-03-22,"An artistic picture that shows a leaf rising into the foreground with berries in the background, taken at Greensboro Arboretum.",nature photography; North Carolina; Greensboro,"Greensboro, North Carolina",36.07326,-79.83755,,,,image/jpeg,,,
ob2,Alaska2.JPG,,,Masonic Temple in Ketchikan,"Armstrong, K. Lainie",2024-07,"A picture showing an eagle statue and a Masonic Temple in downtown Ketchikan, Alaska.",photography; Alaska; Ketchikan (Alaska),"Ketchikan, Alaska",55.34283,-131.64825,,,,image/jpeg,,,
ob3,Austria1.jpg,,,Mendehall Glacier,"Armstrong, K. Lainie",2024-07,"A image that shows Mendenhall Glacier located near Juneau, Alaska.",nature photography; Alaska; Mendenhall Glacier (Alaska);,"Juneau, Alaska",58.44135,-13.54578,,,,image/jpeg,,,
ob4,Belmont1.JPG,,,Telepathy Study Advertisement in Charlotte,"Armstrong, K. Lainie",2021-06-13,"Image of a poster titled ""Participants needed for Telepathy Study"" surrounded by smiley faces on a telephone pole in the evening from NoDa, Charlotte, North Carolina. The poster contains the text ""Seeking people ages 18-65 with an interest in understanding the relationship between the gut microbiome and human consciousness. Must be located in the Charlotte metro area and not currently taking antibiotics. Study will require about one hour of availability for four weeks and participants will be paid $25 per session. trillionfriends.com/experiment to register or learn more""","photography; Advertisement writing; Charlotte, North Carolina","Charlotte, North Carolina",35.24783,-80.80498,,,,image/jpeg,,,
ob5,Charlotte1.JPG,,,YMCA Staircase in NYC,"Armstrong, K. Lainie",2023-11,"A picture of a well-worn staircase featuring decorative blue tiles with ornate patterned accents on each riser, creating a repeated geometric design. Image taken in West Side YMCA in NYC, New York. ",photography; YMCA; tile fllooring,"New York City, New York",40.77059,-73.98065,,,,image/jpeg,,,
ob6,Greensboro1.JPG,,,Armstrong & Huffman Wedding Photograph in Hudson,"Lowery, Lynn",2025-04-19,"An image of a newly married couple exits a building where guests cheer and blow bubbles around the,/ The bride wears a lace wedding gown and the groom is in a black suit with a purple tie, both smiling as they walk forward.",photography; Wedding ceremony; Wedding costume,"Hudson, North Carolina",35.82876,-81.48016,,,,image/jpeg,,,
ob7,Hudson1.jpg,,,Fushimi Inari-taisha Temple,"Armstrong, K. Lainie",2018-07,"A picture of a scenic hillside view that features traditional red torii gates overlooking Kyoto city at sunset. Image taken at Fushimi Inari-taisha shrine in Kyoto, Japan.",photography; kyoto; torii; japan,"Kyoto, Japan",34.9678,135.77914,,,,image/jpeg,,,
ob8,Japan1.jpg,,,St Stephans Cathedral,"Armstrong, K. Lainie",2022-12,"A picture taken from St. Stephan's Catherdral overlooking the dense Vienna cityscape. In the foreground the black, white, an grey tile roof and a green dome are displayed prominently. ","photography; Vienna; Vienna, Austria; Tile, Roofing","Vienna, Austria",48.20848,16.37345,,,,image/jpeg,,,
ob9,Russia1.jpg,,,Plant at Greensboro Arboretum ,"Armstrong, K. Lainie",2021-03-22,"An artistic picture that shows a leaf rising into the foreground with berries in the background, taken at Greensboro Arboretum.",nature photography; North Carolina; Greensboro,"Greensboro, North Carolina",38.86491857,58.51592786,,,,image/jpeg,,,
ob10,NYC1.jpg,,,Masonic Temple in Ketchikan,"Armstrong, K. Lainie",2024-07,"A picture showing an eagle statue and a Masonic Temple in downtown Ketchikan, Alaska.",photography; Alaska; Ketchikan (Alaska),"Ketchikan, Alaska",37.92154214,80.10682238,,,,image/jpeg,,,